;CODE DU CHEF-LIEU, VILLE;NOM VILLE;CODE DU LYCEE OU COLLEGE;DATE DE FONDATION;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE SUBVENTION ETAT;RECETTE SUBVENTION DEPARTEMENT;RECETTE BOURSES ETAT;RECETTE BOURSES DEPARTEMENT;RECETTE BOURSES COMMUNE;RECETTE BOURSES FONDATION;RECETTE COMPLEMENTS;RECETTE FRAIS ETUDES;RECETTE LYCEE RENTES;RECETTE DIVERSES EX;RECETTE TROUSSEAU;RECETTE TOTALE;PRIX BOURSE PENSION;PRIX BOURSE DEMI-PENSION;PRIX BOURSE EXTERNES;PRIX PENSION ELEMENTAIRE;PRIX PENSION GRAMMAIRE;PRIX PENSION SUPERIEUR;PRIX PENSION MATHEMATIQUES;RETRIBUTION FRAIS ELEMENTAIRE;RETRIBUTION FRAIS GRAMMAIRE;RETRIBUTION FRAIS SUPERIEUR;RETRIBUTION FRAIS MATHEMATIQUES;RETRIBUTION ADMISSION;DEPENSE PERSONNEL TRAITEMENT;DEPENSE PERSONNEL INDEMNITES;DEPENSE PERSONNEL TOTAL;DEPENSE PERSONNEL CLASSIQUE TRAITEMENT;DEPENSE PERSONNEL CLASSIQUE INDEMNITES;DEPENSE PERSONNEL CLASSIQUE TOTAL;DEPENSE PERSONNEL SPECIAL TRAITEMENT;DEPENSE PERSONNEL SPECIAL INDEMNITES;DEPENSE PERSONNEL SPECIAL TOTAL;DEPENSE PERSONNEL MAITRE;DEPENSE PERSONNEL SUBVEILLANT;DEPENSE PERSONNEL MEDECIN;DEPENSE PERSONNEL AGENT;DEPENSE PERSONNEL TOTAL;DEPENSE NOURRITURE;DEPENSE MATERIEL HABILLEMENT;DEPENSE MATERIEL CHAUFFAGE;DEPENSE FRAIS SERVICE;DEPENSE MATERIEL BIBLIOTHEQUE;DEPENSE MATERIEL TROUSSEAU;DEPENSE MATERIEL TOTAL;DEPENSES TOTAL;REPORT TOTAL RECETTES;COMPARAISON RECETTE;COMPARAISON DEPENSE;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE BOURSE FONDATION;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES BOURSE NATIONALE;ELEVE EXTERNE BOURSE DEPARTEMENTALE;ELEVE EXTERNE BOURSE COMMUNALE;ELEVE EXTERNE SURVEILLE;ELEVE EXTERNES LIBRE;ELEVE EXTERNE ETABLISSEMENT;ELEVE EXTERNES TOTAL;ELEVES TOTAL GENERAL;ELEVE CLASSE MATHEMATIQUES SUPERIEUR NOUVEAU;ELEVE CLASSE MATHEMATIQUES SUPERIEUR VETERAN;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE MATHEMATIQUES PREPA;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 8;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL TOTAL;REPARTITION ELEVE TOTAL;EN PREPA ECOLE NORMALE LETTRE;EN PREPA ECOLE NORMALE SCIENCE;EN PREPA ECOLE POLYTECHNIQUE;EN PREPA ECOLE SAINT-CYR;EN PREPA ECOLE NAVALE;EN PREPA ECOLE FORESTIERE;EN PREPA ECOLE CENTRALE;EN PREPA ECOLE NORMALE CLUNY;877 ELEVE CLASSIQUE PASS;878 ELEVE CLASSIQUE PASS;879 ELEVE CLASSIQUE PASS;880 ELEVE CLASSIQUE PASS;881 ELEVE CLASSIQUE PASS;882 ELEVE CLASSIQUE PASS;883 ELEVE CLASSIQUE PASS;884 ELEVE CLASSIQUE PASS;885 ELEVE CLASSIQUE PASS;886 ELEVE CLASSIQUE PASS;887 ELEVE CLASSIQUE PASS;ELEVE CLASSIQUE TOTAL;ELEVE SPECIAL PASSE;878 ELEVE SPECIAL PASSE;879 ELEVE SPECIAL PASSE;880 ELEVES SPECIAL PASSE;881 ELEVES SPECIAL PASSE;882 ELEVES SPECIAL PASSE;883 ELEVES SPECIAL PASSE;884 ELEVES SPECIAL PASSE;885 ELEVES SPECIAL PASSE;886 ELEVES SPECIAL PASSE;887 ELEVES SPECIAL PASSE;ELEVES SPECIAL TOTAL
11;31;MICHELET;11;1864;173899;9000;164899;17640.549999999999;NA;18841.869999999999;675;NA;NA;1025058;6391;35;61318.449999999997;167601.10000000001;1297561;1200;675;250;1100;1300;1500;1650;250;300;350;400;100;42941.660000000003;3885;46826.660000000003;277727.77000000002;30530.549999999999;308258;NA;NA;NA;18500;85271.889999999999;5600;41626.199999999997;506083;286642.66999999998;124689.14999999999;212082.34;8944.9099999999999;3889.3299999999999;184579.48000000001;820828;1326911;1297561;NA;29349.73;17;0;0;0;884;39;940;0;0;0;0;52;0;52;992;4;4;17;23;16;7;41;3;43;76;107;136;155;142;110;108;992;0;0;0;0;0;0;0;992;8;1;5;1;0;0;0;0;0;1;1;1;2;1;1;1;3;3;2;16;0;0;0;0;0;0;0;0;0;0;0;0
12;3;LAKANAL;12;1885;98981;12309.6;86671.399999999994;109833.33;NA;60620;NA;4830;NA;219614;7681.5;NA;28112.599999999999;39079.220000000001;461770;1200;675;250;1100;1300;1500;1650;250;300;350;0;0;32325;2963.8899999999999;35288.889999999999;106926.67;13125;120052;3336.1199999999999;1479.4400000000001;4815.5600000000004;7026;19937.880000000001;2800;13771.469999999999;203691;83737.309999999998;20648.439999999999;83783.169999999998;2999.6500000000001;2896.9099999999999;45203.5;239269;442960;461770;18809.900000000001;NA;74;0;4;0;212;34;324;0;0;0;0;48;0;48;372;0;0;21;11;8;0;9;15;15;27;23;29;25;27;24;16;250;0;0;0;31;43;48;122;372;14;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;14;9;6;29;0;0;0;0;0;0;0;0;0;1;6;7
13;2;BOURGES;33;1803;9100;4250;4850;52000;NA;8532;2700;2700;NA;100235;18732.5;NA;13347.959999999999;11931.719999999999;310179;750;450;120;750;800;850;0;100;140;175;0;90;19575;900;20475;67851.25;8641.6000000000004;76493;13530.75;1950;15480.75;5800;11509.700000000001;900;8566.75;139225;44361.82;7408.7399999999998;19312.07;2216.0500000000002;1507.99;8263.6700000000001;83070;222295;210179;NA;12116.610000000001;17;4;6;0;119;40;186;2;0;0;33;172;0;207;393;0;0;23;12;5;0;19;5;18;37;32;33;28;32;23;59;326;3;2;8;12;22;20;67;393;0;0;6;2;0;0;0;3;3;4;5;3;6;3;7;5;4;4;3;47;2;3;3;4;2;2;3;5;3;2;4;33
14;1;CHARTRES;41;1887;20478;8247.4899999999998;12230.51;21414.970000000001;NA;5070;NA;840;NA;27726;5388;NA;2837;9289.1000000000004;72565;700;425;100;650;700;750;0;80;100;120;0;90;4775.5500000000002;305.82999999999998;5081.3800000000001;12986.91;1537.3699999999999;14524;3559.9899999999998;316.37;3876.3600000000001;1503.72;2911.0599999999999;195.53999999999999;2157.8299999999999;30250;14366.370000000001;1222.5799999999999;23720.889999999999;NA;NA;6903.1300000000001;46213;76463;72565;NA;3897.8200000000002;32;0;0;0;108;41;181;0;0;16;35;96;17;164;345;0;0;10;13;0;5;0;17;20;22;24;23;23;26;20;42;245;3;3;9;23;32;30;100;345;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;242;0;0;0;0;0;0;0;0;0;0;102;102
15;3;ORLEANS;91;1803;8706;4013;4693;135097.22;NA;22947.25;1600;3800;1360;104697;23339.43;NA;3324.04;11549.309999999999;307714;800;475;120;750;800;850;1000;100;140;175;250;0;23700;517.5;24217.5;79613.350000000006;13873.610000000001;93487;16337.219999999999;3050;19387.220000000001;5720;15859.9;1000;10204.370000000001;169876;63270.980000000003;13420.540000000001;18429.470000000001;3066.4200000000001;1394.6199999999999;12418.549999999999;112001;281877;307714;25837.84;NA;36;3;8;2;99;58;206;1;0;0;0;164;21;186;392;7;8;40;10;15;0;16;7;14;33;28;22;36;20;19;54;329;3;0;6;15;23;16;63;392;0;0;7;7;1;0;1;2;5;7;10;3;6;16;8;5;4;9;6;79;0;1;1;1;0;2;1;1;2;1;0;10
16;4;REIMS(G);98;1803;14425;6273;8152;104990.28;NA;18278.75;NA;7925;NA;201990;37626;900;9810.8299999999999;13741.25;395262;850;500;150;850;900;950;1000;140;175;225;300;0;23756.669999999998;1745;25501.669999999998;114873.34;18695.669999999998;133569;28500.540000000001;2641.9499999999998;31142.490000000002;5600;22166.599999999999;850;11686.41;230516;93522.919999999998;14867.469999999999;32270.16;3596.6500000000001;4061.2600000000002;11267.5;159586;390102;395262;5159.7700000000004;NA;24;0;17;0;156;136;333;3;0;5;0;287;0;295;628;10;8;43;11;14;0;34;3;31;37;39;40;45;43;44;125;527;0;4;7;23;33;34;101;628;0;3;15;11;0;0;6;0;16;17;15;7;17;18;16;8;17;16;13;160;0;1;1;2;0;2;2;1;0;0;0;9
17;3;VENDOME;125;1847;16871;3449;13422;85040.25;NA;10382.5;3500;7000;800;53301;5188.75;NA;3472.8699999999999;6328.04;175014;700;425;90;650;700;750;0;90;110;130;0;90;17900;625;18525;52712.629999999997;5975.25;58688;9603.3500000000004;3700;13303.35;4600;7227.1300000000001;800;6314.3999999999996;109458;39036.169999999998;9988.25;11447.200000000001;1699.27;790.16999999999996;7477.5500000000002;70439;179896;175014;NA;4882.5200000000004;15;5;9;0;62;15;106;0;0;1;7;60;0;68;174;0;0;9;2;3;0;6;0;5;7;15;12;15;12;12;18;116;0;4;8;11;19;16;58;174;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0
18;6;VERSAILLES;126;1806;54422.879999999997;10297.67;44125.209999999999;150370.82999999999;NA;87953.75;NA;12225;NA;347940;83805;NA;74994.850000000006;63831.949999999997;821121;1100;625;200;950;1100;1200;1300;175;200;250;300;90;41000;4843.8500000000004;45843.849999999999;229658.32000000001;32323.330000000002;261981;29905.529999999999;5261.6599999999999;35167.190000000002;12650;43547.849999999999;1800;23358.849999999999;424349;136401.14999999999;43547.82;95814.309999999998;5986.04;3432.1300000000001;46184.730000000003;331366;755716;821121;64405.809999999998;NA;89;0;16;0;287;60;452;5;0;0;26;310;74;415;867;18;24;97;23;21;0;33;4;46;58;91;58;68;75;51;41;708;0;7;14;30;52;56;159;867;0;1;34;34;3;0;0;1;0;0;0;13;18;14;23;12;18;22;28;148;0;0;0;2;2;0;1;0;3;1;0;9
19;1;FONTANES;129;NA;-0.01;-0.01;-0.17999999999999999;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;7;6;21;24;4;15;18;24;33;33;187;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;0;AIX;0;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;36;45;45;51;50;47;51;48;60;110;588;15;18;16;14;14;16;15;19;17;16;36;196
