ETABLISSEMENTS;TYPE ETABLISSEMENTS;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE FRAIS ETUDES;RECETTE TOTALE;DEPENSES PERSONNEL;DEPENSES NOURRITURE;DEPENSES FRAIS SERVICE;DEPENSES TOTAL;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES LIBRE;ELEVE EXTERNES TOTAL;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 8;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL TOTAL;ELEVE TOTAL GENERAL
BARCELONNETTE;college;2540;540;2000;5575.75;31700;23820;7400;300;31520;0;0;0;23;2;25;91;105;2;2;0;0;0;3;5;5;4;5;7;12;24;45;32;18;11;0;0;0;61;130
CALVI;college;234;234;NA;345;9820;8240;580;840;9660;0;0;0;1;0;1;9;19;0;0;0;0;0;0;0;0;1;0;8;0;0;9;0;8;3;0;0;0;11;20
CARPENTRAS(G);college;4786;2173;2613;4695;52645;36270;9400;5925;51595;7;0;0;30;1;38;109;110;23;2;0;6;2;2;7;4;11;19;10;7;17;93;27;11;0;0;0;0;38;148
CORTE;college;420;420;NA;NA;27200;25300;NA;1900;27200;0;0;0;0;0;0;13;85;0;0;0;0;0;0;0;0;0;0;13;10;16;23;17;15;6;5;3;0;46;85
DRAGUIGNAN;college;1693.5999999999999;926.55999999999995;767.03999999999996;12000;78800;43000;25600;9000;77600;10;18;0;46;1;75;101;101;6;3;0;1;3;4;11;17;14;9;24;18;22;110;14;18;9;3;0;0;44;176
GRASSE;college;1190;470;720;8740.1499999999996;51132;32311.57;13300;3680;49292;0;4;0;26;6;36;95;108;2;2;0;0;1;3;3;3;9;4;15;17;43;59;14;10;13;5;0;0;42;144
MANOSQUE;college;2111;756;1355;NA;24580;17300;6220;600;24120;0;0;0;17;8;25;0;59;0;0;0;0;0;0;0;0;0;0;0;0;34;0;22;15;9;4;0;0;50;84
MENTON;college;5338.9099999999999;1500.99;3837.9200000000001;6760;31790;28500;1840;1449.8;31790;0;2;0;6;5;13;102;103;5;0;0;0;0;0;0;3;5;4;7;13;56;37;11;7;5;0;0;0;23;116
ORANGE;college;3700;1080;2620;4945.75;34368;25468;6304;1385;33157;2;0;0;14;4;20;57;60;6;0;0;5;2;4;5;4;8;6;7;6;9;53;5;8;5;0;0;0;18;80
PERTUIS;college;2486;348;2138;2150.5;16420;15500;NA;1670;17170;0;0;0;0;0;0;49;55;0;0;0;0;0;0;0;0;5;0;0;0;30;5;10;7;3;0;0;0;20;55
SEYNE-LES-ALPES;college;1755;390;1365;1820;13783;10900;1747.5;450;13098;0;0;0;9;0;9;108;110;0;0;0;0;0;0;0;1;0;0;0;8;69;9;15;16;10;0;0;0;41;119
SISTERON;college;2109.5999999999999;662;1447.5999999999999;1700;27133;20033;5825;450;26308;3;0;0;11;0;14;67;67;3;1;0;0;0;0;0;3;4;3;10;14;22;38;14;4;3;0;0;0;21;81
TARASCON;college;1102.3;565.14999999999998;537.14999999999998;560;23800;19110;2600;1480;23190;0;0;0;5;0;5;45;45;0;0;0;0;0;0;0;0;4;4;6;4;19;18;9;3;0;1;0;0;13;50
ARBOIS;college;2907;1102;1805;800;47360;29700;13000;3460;46160;7;1;0;16;16;41;103;103;6;2;0;3;0;1;2;8;8;9;12;28;46;79;10;5;4;0;0;0;19;144
BAUME-LES-DAMES;college;4970.4399999999996;1235.8399999999999;3734.5999999999999;13299;88629;38930;41699;8000;88629;19;1;0;86;1;129;49;49;8;3;0;7;3;9;8;10;15;10;8;7;41;88;13;12;14;10;0;0;49;178
DOLE;college;7183;4083;3100;6430;67680;46350;15830;3000;65180;13;2;0;24;5;44;106;107;24;7;1;4;1;6;5;10;8;18;9;9;18;102;10;10;11;0;0;0;31;151
GRAY;college;9660;1752;7908;8300;64800;41900;14900;6300;63100;13;1;0;25;3;42;74;81;9;2;0;3;3;6;6;9;9;12;11;4;20;74;9;12;7;0;0;1;29;123
LURE;college;4300;1050;3250;3449.1500000000001;48580;27010;13015;6570;46595;9;0;0;23;6;38;36;47;5;1;0;0;0;2;7;5;3;6;5;2;10;36;21;10;6;2;0;0;39;85
LUXEUIL;college;4108;700;3408;3600;35543;22760;7500;3488.5999999999999;33749;5;0;0;13;6;24;71;96;1;1;0;1;0;1;7;6;9;12;12;10;22;60;16;12;9;0;1;0;38;120
MONTBELIARD;college;3804;1552;2252;14980;72276;42750;19400;10126;72276;10;0;5;21;18;54;122;122;12;3;3;3;8;7;12;15;14;15;15;10;11;117;19;20;6;3;0;0;48;176
POLIGNY;college;2826;1129;1697;NA;38650;27800;6850;2000;36650;3;1;0;15;5;24;129;129;11;3;0;3;0;3;2;3;5;5;8;9;76;52;15;6;4;0;0;0;25;153
PONTARLIER;college;6581;1846;4735;4125;41560;26500;11600;2901.1500000000001;41001;10;1;0;16;4;31;68;78;6;0;1;5;0;3;1;9;3;5;4;4;20;41;23;19;5;1;0;0;48;109
SAINT-CLAUDE;college;21808;1220;20588;6000;57050;33000;15000;6550;54550;3;1;0;37;1;43;72;78;7;0;0;0;1;0;2;1;2;5;5;1;15;24;8;26;28;10;5;5;82;121
SALINS;college;11155;735;10420;5000;40750;30150;7050;2000;39200;1;1;0;14;6;22;74;74;16;3;0;4;2;2;7;4;9;9;5;3;16;64;7;6;0;3;0;0;16;96
BERGERAC;college;6360;5830;530;9806.1000000000004;71836;53971.050000000003;13629.84;4234.8000000000002;71836;16;0;0;48;8;72;116;123;13;4;0;7;4;8;14;9;9;14;19;15;30;116;11;17;14;7;0;0;49;195
BLAYE;college;11800;2100;9700;8196;56787;37594.410000000003;12921.700000000001;3724.6500000000001;54241;9;3;0;26;7;47;34;49;7;5;0;6;1;3;8;5;3;11;5;1;9;55;15;13;3;1;0;0;32;96
LIBOURNE;college;3800;1981;1819;26352;30200;55013.050000000003;53760;2310;111083;19;3;0;115;29;166;71;89;15;10;4;17;5;13;21;29;25;13;13;6;15;171;17;31;10;7;4;0;69;255
MARMANDE;college;4200.7700000000004;1700.8599999999999;2499.9099999999999;10200;44150;25850;15210;1890;42950;2;0;0;46;1;49;47;68;10;4;0;1;1;6;8;13;12;8;7;6;12;76;11;18;0;0;0;0;29;117
MEZIN;college;1883.54;915.75;967.78999999999996;245;15510;12900;1390;1025;15315;1;0;0;3;0;4;18;33;3;0;0;0;0;0;0;5;2;2;0;0;21;12;4;0;0;0;0;0;4;37
REOLE(LA);college;3782;1125;2657;5600;30200;13600;12500;1600;27700;9;3;0;23;3;38;27;30;16;0;0;0;0;3;5;12;7;10;4;3;0;60;4;4;0;0;0;0;8;78
SARLAT;college;3480;1312;2168;3370;27497;19000;6077;1750;26827;5;0;0;14;1;20;17;39;8;0;0;0;0;0;2;6;4;2;5;3;3;30;3;11;7;5;0;0;26;59
VILLENEUV-SUR-LOT;college;3050;1184;1866;6750;43605;27250;12620;2075;41945;4;0;0;24;16;44;53;67;8;1;1;1;1;1;3;4;6;5;10;7;12;48;16;23;12;0;0;0;51;111
ARGENTAN;college;11984;1658;10326;14538;117278;61100;45830;7300;114230;4;0;0;115;34;153;82;82;4;3;5;5;2;6;11;8;12;13;22;15;53;106;27;22;14;9;0;4;76;235
AVRANCHES;college;5705;1764;3941;8366.5;76154;50958.040000000001;16000;6598;73556;3;3;0;32;2;40;79;79;4;2;0;2;0;8;3;15;4;9;7;7;24;61;12;11;7;4;0;0;34;119
BAYEUX;college;4450;1800;2650;6090;58333;43352.5;12740;1000;57093;5;0;0;29;9;43;87;87;1;2;0;2;2;3;7;7;13;5;17;10;31;69;8;12;6;3;1;0;30;130
BERNAY;college;1805;705;1100;6480;59130;19800;30000;4600;54400;7;0;0;75;9;91;107;111;4;0;0;5;0;6;12;6;5;6;7;12;67;63;28;19;18;7;0;0;72;202
CARENTAN;college;2624;788;1836;147;18773;14340;4400;152;18892;2;0;0;7;1;10;70;87;0;0;0;0;0;0;0;0;0;1;0;0;75;1;15;5;1;0;0;0;21;95
CONDE-SUR-NOIREAU;college;4900;606;4294;5550;26825;15900;6550;1350;23800;0;0;0;10;13;23;41;43;0;0;0;0;0;0;0;0;3;0;9;18;19;30;0;7;10;0;0;0;17;66
COURDEMANCHE;college;4200;635;3565;NA;10683;4333;5000;600;9933;2;1;0;10;2;15;63;63;0;0;0;0;0;0;0;0;0;0;0;0;59;0;10;2;3;2;2;0;19;78
DIEPPE;college;3927;2307;1620;10922.08;153315;69138.929999999993;55519.389999999999;28656.889999999999;153315;16;3;5;101;35;160;90;90;38;9;0;5;0;8;13;10;11;18;26;18;20;156;15;25;14;10;4;6;74;250
DOMFRONT;college;4879.0500000000002;1498.5;3380.5500000000002;500;31700;20210;10200;1100;31510;8;0;0;23;7;38;120;120;0;0;0;0;0;0;4;2;5;4;7;6;110;28;5;3;6;3;3;0;20;158
EU;college;8115;2052;6063;6010;62940;24750;34000;1190.24;59940;2;3;3;75;6;87;73;73;2;1;0;3;0;3;3;5;8;14;10;12;42;61;22;24;8;3;0;0;57;160
FALAISE;college;8486;1290;7196;5982;64757;37000;21750;4257;63007;0;1;0;42;17;60;63;72;7;5;2;8;2;3;10;11;6;10;9;13;16;86;14;8;5;3;0;0;30;132
FLERS;college;15780;3700;12080;7558.0500000000002;71642;41102.18;25750;3850;70702;5;0;0;35;27;67;56;70;5;0;1;5;1;5;6;8;4;4;22;11;20;72;22;10;6;4;3;0;45;137
HONFLEUR;college;3000;1000;2000;6767.5;75182;35000;31000;6000;72000;3;0;0;69;11;83;53;60;2;2;0;5;1;3;2;9;6;9;15;13;30;67;14;14;13;5;0;0;46;143
LISIEUX;college;4171;1426;2745;11450;91565;42850;18200;3388;64438;4;0;0;64;15;83;100;188;4;3;0;14;0;12;11;23;23;38;23;15;41;166;24;18;12;4;4;2;64;271
MORTAIN;college;1411;375;1036;NA;28410;20850;6400;700;27950;4;2;0;12;2;20;22;31;1;4;1;3;0;0;3;2;2;4;1;5;9;26;2;7;3;2;1;1;16;51
SABLE;college;10317.700000000001;113;10204.700000000001;1848;26670;14250;8930;2100;25280;1;3;0;11;13;28;47;47;0;0;0;0;0;0;0;1;3;1;12;13;17;30;10;4;7;3;3;1;28;75
ST-HILAIRE-DU-HAR;college;1425;275;1150;2102;23255;13675;8005;1300;22980;0;2;0;18;7;27;117;117;0;0;0;0;0;0;3;0;3;3;4;5;85;18;21;11;5;4;0;0;41;144
SEES;college;4500;2500;2000;1375;33055;15300;10000;975;26275;1;0;0;35;3;39;42;61;4;1;0;3;0;1;2;5;2;6;10;17;34;51;5;5;3;2;0;0;15;100
SILLE-LE-GUILLAUM;college;3652;742;2910;1800;20980;13000;5700;1200;19900;2;2;0;6;2;12;58;58;4;0;0;0;0;0;0;1;2;2;10;10;26;29;5;5;2;3;0;0;15;70
VERNEUIL;college;857.46000000000004;371.17000000000002;486.29000000000002;1200;14850;10400;3500;650;14550;0;0;0;7;4;11;31;35;0;0;0;0;0;0;0;0;4;2;0;0;21;6;6;7;6;0;0;0;19;46
VIRE;college;7241.9499999999998;1535.5;5706.4499999999998;7775;67656;42850;18200;3388;64438;2;0;0;38;28;68;34;121;0;7;0;14;0;12;19;23;23;28;9;4;18;139;17;9;5;1;0;0;32;189
ANNECY;college;7400;1680;5720;8031.2600000000002;84233;53488.029999999999;22154.18;7591.2799999999997;83233;13;6;7;28;0;58;131;131;14;0;1;10;2;5;11;11;15;15;13;15;29;112;8;17;11;6;6;0;48;189
BONNEVILLE;college;64190;10180;54010;1757;53196;27359.93;19637.25;5191.75;52189;12;2;13;26;1;54;32;42;10;3;0;1;0;1;6;10;5;5;4;3;15;48;14;11;8;0;0;0;33;96
AMBERT;college;15100;2500;12600;1000;17400;13100;2120;1100;16320;1;2;0;6;0;9;28;46;2;0;0;0;0;0;0;2;4;5;11;10;11;34;5;4;1;0;0;0;10;55
AUBUSSON;college;10623;656;9967;2430;33220;22100;8625;1413;32138;6;0;0;17;2;25;25;29;0;0;0;2;0;1;1;3;3;4;6;0;8;20;6;6;11;2;1;0;26;54
AURILLAC;college;4504;2265;2239;8503.5;78963;49373.599999999999;24195;3749.25;77318;11;2;0;35;10;58;76;99;15;3;3;4;4;9;13;10;15;17;11;12;14;116;8;12;5;2;0;0;27;157
BRIOUDE;college;4762.3699999999999;1177;3585.3699999999999;2740;33540;20950;8500;2200;31650;1;9;0;11;5;26;42;52;3;0;0;2;1;4;1;7;3;3;3;2;12;29;21;10;6;0;0;0;37;78
BRIVE;college;3267;1224;2043;9775;89875;52600;30500;4260;87360;16;0;0;86;4;106;115;140;14;9;0;14;3;12;13;15;12;16;20;10;19;138;31;26;16;8;8;0;89;246
CUSSET;college;2725.8699999999999;1225.75;1500.1199999999999;4630;42520;24700;15000;1300;41000;4;0;0;33;6;43;44;63;6;0;0;0;0;0;0;9;7;12;10;8;18;52;9;15;7;4;1;0;36;106
ISSOIRE;college;6435;1676;4759;8384;63290;25700;28800;2400;56900;8;3;0;75;1;87;60;76;0;0;0;0;0;0;3;2;6;10;14;11;31;46;34;24;10;18;0;0;86;163
MAURIAC;college;1725;976;749;1900;37500;23300;10500;1200;35000;5;2;0;36;0;43;52;52;2;0;1;2;0;3;1;2;0;2;3;4;42;20;12;13;8;0;0;0;33;95
RIOM;college;5687.0600000000004;2388;3299;10373;78558;27457.959999999999;47000;1100;75558;12;2;0;103;14;131;63;63;0;0;0;0;0;0;0;0;0;0;0;0;45;0;25;61;39;13;5;6;149;194
SAINT-FLOUR;college;5495;1103;4392;910;34896;23648.599999999999;9100;966.90999999999997;33716;3;2;0;6;2;14;17;17;3;0;0;1;0;3;5;2;1;1;3;1;0;20;3;4;4;0;0;0;11;31
THIERS;college;2682;1142;1540;7380;41698;26313.299999999999;13160;1125;40598;6;7;0;16;2;31;80;120;10;0;0;0;3;2;7;11;7;16;0;0;40;56;16;16;13;6;4;0;55;151
TREIGNAC;college;2621;649;1972;2610;29600;17500;10200;1100;28800;7;8;0;13;3;31;156;156;0;0;0;0;0;0;3;5;5;2;6;8;121;29;11;16;5;5;0;0;37;187
ARNAY-LE-DUC;college;19410;5260;14150;1376;11068;8360.2700000000004;1000;1706.7;11067;0;0;0;0;0;0;32;32;0;0;0;0;0;0;0;0;0;0;4;4;9;8;5;5;3;2;0;0;15;32
AUXERRE(G);college;9935;3002;6933;28389.5;161307;77763.220000000001;51371.879999999997;32171.939999999999;161307;17;6;0;138;18;179;166;174;27;8;0;22;0;13;27;28;21;26;17;8;54;197;28;38;22;6;8;0;102;353
AVALLON;college;3637.4099999999999;931.59000000000003;2705.8200000000002;-0.01;NA;-0.01;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AUXONNE;college;1485;606.80999999999995;878.19000000000005;1050;18213;14775;1462.5;1018.16;17256;6;0;0;3;4;13;83;83;9;0;0;0;0;0;0;9;3;11;9;5;16;46;19;5;8;2;0;0;34;96
BAR-SUR-AUBE;college;4522;1579;2943;4348.5;39250;18500;14750;1900;35150;7;0;0;43;2;52;50;50;12;0;0;0;0;0;1;5;2;8;0;0;29;28;16;19;10;0;0;0;45;102
BEAUNE;college;4479.4799999999996;1528.49;2950.9899999999998;7040;61366;37029;16589;3153;56771;7;0;0;32;12;51;143;143;7;2;0;7;0;14;12;11;16;16;5;21;33;111;20;20;10;0;0;0;50;194
CHATILLON-SUR-SEI;college;2623.3499999999999;1401.72;1221.6300000000001;4664;33196;23468.32;7492.3199999999997;1300;32261;3;0;0;15;0;18;63;63;6;1;0;0;1;4;2;2;5;1;5;5;15;32;10;13;11;0;0;0;34;81
CLAMECY;college;2368;1121;1247;3496.1999999999998;50105;25854.540000000001;18000;2098.5900000000001;45953;11;0;0;31;1;43;52;53;11;0;0;1;0;2;5;8;8;6;8;5;13;54;10;13;4;2;0;0;29;96
COSNE-SUR-LOIRE;college;4297;708;3589;3641;25675;13200;11025;1450;25675;8;0;0;26;5;39;80;80;0;0;0;0;0;0;4;8;2;7;10;13;40;44;19;11;5;0;0;0;35;119
JOIGNY;college;4689.3599999999997;785.24000000000001;3904.1199999999999;4384.5;40246;19345.830000000002;15900;1900;37146;5;1;0;34;2;42;45;45;0;0;0;0;0;0;4;0;8;5;3;5;9;25;16;10;12;7;8;0;53;87
LANGRES;college;6654;1838;4816;9221.6000000000004;96281;53359.970000000001;26440.799999999999;16480.349999999999;96281;10;4;0;59;2;75;67;95;21;1;1;5;1;5;6;10;13;8;5;8;17;84;9;17;21;10;10;2;69;170
SAULIEU;college;1606;1052;554;3020;28531;19683.330000000002;7200;1181.9000000000001;28065;0;0;0;13;0;13;45;45;6;0;0;0;0;0;2;6;6;4;0;5;12;29;6;7;4;0;0;0;17;58
SEMUR;college;7640;1060;6580;4170;44722;30286.669999999998;11900;1680;43867;3;0;0;43;3;49;42;42;12;3;0;1;0;3;3;8;5;11;5;0;12;51;17;7;4;0;0;0;28;91
TONNERRE;college;2648.1500000000001;1348.1500000000001;1300;6390;51474;25493.619999999999;24000;1330;50824;6;1;0;41;3;51;69;69;6;0;0;4;0;2;8;5;6;11;8;9;13;59;22;15;9;2;0;0;48;120
VASSY;college;6400;1400;5000;5215;53607;34863.349999999999;17845.150000000001;2342.1999999999998;55051;7;2;0;26;3;38;43;54;9;0;0;7;3;2;3;6;7;5;5;9;6;56;5;10;10;5;0;0;30;92
ARMENTIERES(G);college;15396;5340;10056;13800;112084;65033.879999999997;36700;9250;110984;10;6;0;90;22;128;149;152;12;2;5;9;3;6;7;18;6;18;17;17;91;120;23;17;20;8;1;0;69;280
ARRAS;college;7087;3896;3191;20815;112695;72760;25235;14700;112695;8;0;5;63;9;85;169;188;17;5;1;9;3;7;13;17;21;18;19;35;34;165;18;25;22;6;2;1;74;273
AVESNES;college;20442;14042;6400;7531;74076;41924.660000000003;20632.669999999998;11518.93;74076;1;1;0;56;11;69;87;87;9;2;0;2;2;2;11;11;13;16;6;12;21;86;20;20;9;0;0;0;49;156
BETHUNE;college;7700;850;6850;4345;39452;33441.379999999997;500;4856.6800000000003;38798;4;0;0;56;8;68;91;111;12;3;0;4;0;4;5;8;10;13;14;12;49;85;16;14;15;0;0;0;45;179
BOULOGNE-SUR-MER;college;4643.8999999999996;2437.48;2206.4200000000001;22840.619999999999;132189;77624.740000000005;31811.91;22752.209999999999;132189;5;0;0;53;15;73;236;268;13;2;1;6;3;6;16;18;14;20;30;27;77;156;41;43;20;4;0;0;108;341
CALAIS;college;3600;1800;1800;14481;67527;45559.129999999997;16800;4567.6199999999999;66927;2;0;2;13;25;42;167;187;10;0;0;0;0;0;4;4;8;15;39;31;54;111;37;14;8;2;3;0;64;229
CAMBRAI(G);college;6844;2034;4810;16677;140382;86627.080000000002;35751.589999999997;18003.119999999999;140382;13;4;0;90;21;128;170;202;23;4;0;10;4;8;18;25;28;28;23;32;57;203;18;22;18;6;3;3;70;330
CASSEL;college;1683.5999999999999;480.69999999999999;1202.9000000000001;1600;17025;8600;5145;1635;15380;0;0;0;13;1;14;38;38;6;0;0;0;0;0;0;6;0;0;7;0;14;19;6;10;3;0;0;0;19;52
CATEAU(LE);college;2592;755;1837;1863;31576;21081.93;7000;2294.0500000000002;30376;0;1;0;9;5;15;63;72;4;0;0;0;0;0;4;4;0;3;14;12;13;41;11;12;8;1;0;1;33;87
CHATEAU-THIERRY;college;4490;1170;3320;8411;58900;25600;29500;3800;58900;5;6;0;41;13;65;65;69;5;0;0;6;3;4;7;7;6;11;9;10;24;68;24;12;6;0;0;0;42;134
CONDE-SUR-L'ESCAU;college;2080;740;1340;4702.5;27081;20449.02;4527.3000000000002;1902.26;26879;3;0;0;1;5;9;75;92;0;0;0;0;0;2;1;5;6;8;12;6;10;40;17;15;9;6;4;0;51;101
ABBEVILLE(G);college;10060;1700;8360;6066;121239;65618.570000000007;33762.110000000001;21858.16;121239;25;2;0;65;12;104;100;100;10;9;0;6;3;6;10;8;12;8;6;9;42;87;20;22;20;8;3;2;75;204
DUNKERQUE;college;2900.02;1820.74;1079.28;12034;125156;72809.580000000002;41000;8446.7299999999996;122256;10;5;0;52;22;90;160;219;26;2;0;5;0;11;9;17;19;15;20;29;78;153;32;25;11;9;1;0;78;309
FERE(LA)(G);college;5000;1000;4000;6717;66332;30650;29200;4040;63890;5;4;0;46;11;66;51;56;7;0;0;1;0;4;5;6;7;6;7;3;17;46;22;16;14;7;0;0;59;132
HAZEBROUCK;college;3356;1418;1938;1860;33898;25547.5;5000;1750;32298;1;2;0;9;1;13;103;103;3;0;0;0;0;0;3;7;2;4;10;8;43;37;20;7;9;0;0;0;36;116
HESDIN;college;1120;494;626;2500;20115;9571.1100000000006;8450;1550;19571;1;0;0;12;4;17;33;35;0;0;0;0;0;0;3;3;2;2;0;0;10;10;16;12;3;1;0;0;32;52
LANDRECIES;college;950;410;540;3300;33689;12650;13600;3600;29850;0;1;0;44;6;51;35;43;12;0;0;0;0;0;0;4;6;5;7;9;21;43;14;14;2;0;0;0;30;94
MAUBEUGE;college;7448;2352;5096;6316.5;54342;31600;17700;3151.5799999999999;52452;3;1;0;34;10;48;94;94;9;0;0;2;0;5;3;9;6;11;10;8;30;63;21;20;8;0;0;0;49;141
PERONNE;college;2976.5599999999999;928.39999999999998;2048.1599999999999;1600;29172;14500;12500;1200;28200;15;1;0;18;6;40;36;43;5;0;0;0;0;1;5;4;10;8;8;5;6;46;4;15;6;4;2;0;31;83
QUESNOY(LE);college;3614;977;2637;7204;61024;25325;26600;8569.3700000000008;60494;5;8;0;51;4;69;46;70;12;0;0;0;0;0;7;10;6;10;10;11;10;66;19;13;18;9;2;2;63;139
ST-AMAND-LES-EAUX;college;1869;545;1324;1440;34568;21838.330000000002;8946;1839.3699999999999;32624;1;4;0;14;3;22;58;58;4;0;0;0;0;0;1;2;4;2;5;6;29;24;8;12;6;0;1;0;27;80
SAINT-POL;college;2740;1365;1375;4200;72357;29400;37000;3600;70000;6;0;0;88;7;101;50;67;12;1;1;2;0;3;8;11;21;9;12;11;16;91;36;16;7;2;0;0;61;168
SEDAN;college;8038.1700000000001;3985.5999999999999;4052.5700000000002;17575.25;114267;69300;25931.310000000001;19035.310000000001;114267;20;8;3;52;14;99;166;175;19;2;0;7;4;8;13;16;18;12;16;12;51;127;24;33;21;14;4;0;96;274
SOISSONS;college;4855;1355;3500;9512.5;153211;80340.410000000003;38033.129999999997;34837.830000000002;153211;15;8;5;113;13;154;101;107;21;3;0;13;0;7;14;15;24;18;22;15;29;152;24;27;16;5;8;0;80;261
BOURGOIN;college;3753;1285;2468;14392;60568;32813.330000000002;20644;6910.75;60368;17;1;0;38;4;60;53;64;5;0;0;1;0;2;7;6;7;9;12;13;19;62;15;20;4;0;2;2;43;124
BRIANCON;college;3380;1089;2291;3390;27567;20930;3767;2870;27567;2;0;0;11;1;14;71;78;4;0;0;0;0;0;0;3;2;6;6;14;32;35;18;2;5;0;0;0;25;92
EMBRUN;college;450;300;150;2400;26090;20300;3800;1490;25590;1;0;0;6;2;9;55;67;0;1;0;0;0;0;1;0;1;3;7;8;24;21;8;13;7;3;0;0;31;76
GAP;college;2840.8099999999999;787.45000000000005;2053.3600000000001;10230;69350;41900;15500;10000;67400;13;0;0;42;5;60;91;93;10;1;0;6;1;5;4;9;12;10;15;9;17;82;21;19;11;2;1;0;54;153
MONTELIMAR;college;5350;1250;4100;9454;61400;35650;22920;2530;61100;4;0;0;44;6;54;90;90;14;2;0;3;0;3;8;9;8;7;10;11;23;75;10;11;10;4;11;0;46;144
MURE(LA);college;1132;732;400;4478.6999999999998;30510;21300;6000;2410;29710;1;1;0;4;1;7;51;65;0;0;0;0;0;0;0;1;4;6;0;0;28;11;9;8;11;5;0;0;33;72
NYONS;college;6800;700;6100;1840;27870;16895;8078;1600;26573;1;0;0;9;1;11;26;27;2;1;0;0;0;0;3;3;2;9;3;4;5;27;0;5;1;0;0;0;6;38
PRIVAS;college;5200;1500;3700;7194;59648;42350;11293;5440;59083;15;5;0;17;1;38;70;70;18;5;0;1;1;8;11;4;7;12;8;7;8;82;4;8;6;0;0;0;18;108
ROMANS;college;2450;1200;1250;7900;45650;33750;9500;2400;45650;2;0;0;16;8;26;96;96;2;0;0;1;0;2;3;8;6;5;10;14;39;51;14;11;6;1;0;0;32;122
SAINT-MARCELLIN;college;243;570;1860;2158;20398;12200;4640;2358;19198;3;2;0;9;0;14;35;35;1;0;0;1;0;2;3;6;2;2;10;5;7;32;5;4;1;0;0;0;10;49
VALENCE;college;3700;1750;1950;25200;108850;70150;21000;17700;108850;15;0;0;48;11;74;142;144;17;2;1;6;0;8;15;22;22;15;14;9;26;131;19;19;17;6;0;0;61;218
VIENNE;college;7498.9099999999999;4655.4099999999999;2843.5;12850;101036;61000;23220;16816;101036;9;0;0;45;7;61;160;160;18;5;0;9;0;1;8;5;6;11;14;0;46;77;37;25;17;12;7;0;98;221
AUTUN;college;6425;2041;4384;5326.5500000000002;96060;56877.470000000001;20374;17280.080000000002;94532;4;0;0;49;13;66;104;126;9;2;0;4;1;8;8;16;9;9;9;10;48;85;15;17;6;9;9;3;59;192
CHALON-SUR-SAO(G);college;10342.6;1634.02;8708.5799999999999;14023;99788;52105.760000000002;38910;2222;93238;8;0;5;81;5;99;148;169;19;5;0;13;3;8;13;19;19;19;28;20;19;166;18;36;21;7;1;0;83;268
CHAROLLES;college;6717.1599999999999;731.90999999999997;5985.25;1200;33220;17000;12570;2800;32370;11;0;0;21;0;32;51;51;0;0;0;0;0;0;0;0;0;0;0;0;24;0;17;20;9;5;8;0;59;83
LOUHANS(G);college;3624;1535;2089;1400;59090;26550;26300;4240;57090;18;0;0;45;5;68;40;40;3;3;0;9;0;7;5;5;5;7;7;3;4;54;8;18;9;7;4;4;50;107
NANTUA;college;4731;1357;3374;7650;83170;30600;37150;11180;78930;10;4;0;100;2;116;37;37;14;1;0;3;0;1;5;3;8;10;4;8;0;57;26;35;32;3;0;0;96;153
PONT-DE-VAUX;college;5952;1232;4720;1480;24040;12075;6750;2100;20925;4;0;0;22;0;26;25;35;0;0;0;0;0;0;0;0;0;0;0;0;15;0;24;16;6;0;0;0;46;61
ROANNE;college;24400;2660;21740;9200;75135;43128.980000000003;25300;5400;73829;8;0;0;36;7;51;101;118;7;2;1;7;4;9;11;14;14;14;17;18;11;118;22;6;8;2;1;1;40;169
TOURNUS;college;2055;870;1185;1250;30650;14350;10800;2100;27250;9;0;0;26;0;35;51;66;0;0;0;0;0;0;0;0;0;0;0;0;28;0;17;26;17;8;5;0;73;101
