ETABLISSEMENTS;TYPE ETABLISSEMENTS;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE FRAIS ETUDES;RECETTE TOTALE;DEPENSES PERSONNEL;DEPENSES NOURRITURE;DEPENSES FRAIS SERVICE;DEPENSES TOTAL;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES LIBRE;ELEVE EXTERNES TOTAL;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 8;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL TOTAL;ELEVE TOTAL GENERAL
ANGOULEME 1;lycee;16703;7390;9313;33005.150000000001;342629;213020;74731.880000000005;3999.6799999999998;335693;17;13;2;229;31;292;202;268;36;19;0;30;7;29;37;52;57;40;38;23;39;442;21;43;37;13;4;0;118;560
CHATEAUROUX 1;lycee;18230;3360;14870;17891.75;222363;122873;56876.980000000003;2100.02;213534;20;5;9;168;18;220;167;210;19;22;0;23;0;19;29;45;34;29;33;24;50;335;18;33;28;9;5;2;95;430
LIMOGES 1;lycee;10250;3785;6465;34866.25;242049;155628;51847.370000000003;2877.1999999999998;248452;23;0;7;147;53;230;312;351;29;13;0;40;0;25;38;64;53;44;40;23;91;475;26;29;32;12;7;0;106;581
NIORT(G) 1;lycee;21000;6070;14930;9242;181830;111135;45845.790000000001;1999;187907;16;28;13;121;32;210;129;142;17;16;0;17;3;12;30;26;29;25;25;14;41;267;28;35;22;0;0;0;85;352
POITIERS 1;lycee;17743;4940;12803;22833.5;281687;161462;68838.350000000006;2374.75;286427;29;0;7;193;14;243;189;228;39;28;3;20;12;18;39;49;22;38;28;25;52;395;25;27;14;4;4;2;76;471
ROCHEFORT 1;lycee;8519.7299999999996;4283.5900000000001;4236.1400000000003;19267;215463;114306;43610.470000000001;1794.6199999999999;204970;23;27;17;107;9;183;141;223;26;14;0;12;0;13;22;30;41;26;23;17;27;316;27;31;21;7;4;0;90;406
ROCHELLE(LA) 1;lycee;11021.700000000001;5008.8999999999996;6012.8000000000002;14402;176830;111874;39091.110000000001;1770.3599999999999;175501;22;2;22;91;17;159;159;198;15;14;0;11;0;20;27;26;27;14;23;25;43;253;29;30;29;10;6;0;104;357
ROCHE-SUR-YON(LA) 1;lycee;10400;3099.4499999999998;7300.5500000000002;9046.75;154859;102918;31987.59;1699.52;159309;11;6;3;99;8;127;135;158;5;8;0;11;4;8;18;21;24;22;24;7;71;231;18;25;6;5;0;0;54;285
TOURS(G) 1;lycee;10270;4316;5954;35099.75;311027;202002;71803.029999999999;3073.6100000000001;325089;29;0;13;172;36;251;269;293;33;3;12;5;13;27;34;50;40;35;39;24;79;432;49;29;13;13;8;0;112;544
ANGERS 1;lycee;18210;5760;12450;32735.5;257809;152633;55833.199999999997;2594.23;257020;21;0;10;123;44;198;222;250;10;5;0;24;0;19;30;36;41;35;20;29;91;351;11;22;25;18;14;7;97;448
BREST 1;lycee;6918.9399999999996;3246.1100000000001;3672.8299999999999;46191.650000000001;510813;280310;104612.64999999999;3103.8400000000001;501488;33;3;16;242;33;393;383;508;180;9;2;20;1;29;34;46;46;74;64;43;55;762;41;47;29;16;6;0;139;901
LAVAL 1;lycee;26106.599999999999;3871;22235.599999999999;17187;345088;179757;92977.039999999994;4218.2299999999996;328988;16;48;16;159;54;293;172;176;21;11;0;29;1;18;23;31;24;32;26;25;91;343;48;42;20;11;5;0;126;469
LORIENT 1;lycee;7492;2867;4625;23785.869999999999;206661;140093;33907.169999999998;2165.71;203625;25;2;0;35;38;115;197;308;28;8;2;10;2;8;19;32;34;32;16;27;44;333;27;32;16;4;11;0;90;423
NANTES(G) 1;lycee;17425.419999999998;8855.4200000000001;8570;56452.18;309896;227745;43261.93;4310.0299999999997;306489;26;0;17;58;49;150;201;215;63;21;1;21;5;23;35;16;19;14;17;10;17;299;23;15;16;6;6;0;66;365
PONTIVY 1;lycee;10450;5253;5197;12740;153016;102688;24468.650000000001;1707.3399999999999;147858;20;4;6;54;3;87;176;206;10;13;1;6;0;11;8;14;18;18;16;12;49;180;48;26;25;6;4;4;113;293
QUIMPER 1;lycee;14721.33;6495.0500000000002;8226.2800000000007;11285.5;180316;101425;34372.32;2160.0900000000001;168363;49;0;2;76;4;131;130;156;14;7;0;11;0;9;26;16;25;22;12;18;37;204;24;25;17;6;7;4;83;287
RENNES 1;lycee;16300;5530;10770;35545;337006;206451;79166.5;2896.6399999999999;328539;32;18;3;140;32;226;268;307;47;20;0;25;0;29;33;37;32;25;24;35;94;431;13;30;20;17;14;8;102;533
SAINT-BRIEUC 1;lycee;17668.389999999999;3696.5999999999999;13971.790000000001;11178;186606;111924;43384.160000000003;2228.4499999999998;188820;23;0;0;87;11;121;133;163;16;12;0;14;0;8;20;18;16;22;20;10;53;215;9;29;16;15;0;0;69;284
ALBI 1;lycee;9785;3148.4400000000001;6636.5600000000004;14616.5;168391;105962;36660.459999999999;1737.3699999999999;167515;12;6;0;80;23;121;148;192;17;9;4;12;6;13;25;15;22;19;22;17;44;234;17;32;20;7;3;0;79;313
AUCH 1;lycee;6302;3547;2755;6569.25;182673;103717;39759.779999999999;1834.97;173424;13;11;0;105;22;152;77;108;9;10;0;9;7;12;19;20;17;23;16;14;19;186;13;26;22;5;7;1;74;260
CAHORS 1;lycee;13744.91;4213.3699999999999;9531.5400000000009;17944.5;171288;109465;39489.379999999997;1830.3599999999999;177367;30;0;3;104;5;154;167;206;16;21;4;11;6;24;31;34;28;23;26;16;45;297;14;19;16;4;10;0;63;360
FOIX 1;lycee;21325;5910.6499999999996;15414.35;2212;54165;23950;10742.809999999999;NA;63121;27;0;0;77;17;121;109;115;6;5;0;14;7;12;26;15;17;16;16;16;21;178;24;24;6;4;0;0;58;236
MONTAUBAN(G) 1;lycee;46000;6600;39400;15534.5;170066;109052;27467.599999999999;1799.8499999999999;169196;15;27;0;48;12;102;173;187;19;4;0;14;1;15;21;25;24;30;15;11;28;212;15;27;13;11;6;5;77;289
RODEZ 1;lycee;8620.8999999999996;3774.3499999999999;4846.5500000000002;14024;172468;108456;42344.07;1911.5699999999999;179216;19;2;0;121;9;151;148;183;18;11;0;30;0;19;24;28;23;32;21;17;29;262;10;30;13;15;4;0;72;334
TARBES 1;lycee;6640;2798;3842;19094.130000000001;170303;113786;33295.129999999997;2540.8499999999999;169508;16;5;3;77;22;123;201;236;19;5;0;7;7;23;31;21;27;29;33;26;46;286;11;18;18;10;9;7;73;359
TOULOUSE(G) 1;lycee;26739.950000000001;12884.950000000001;13855;106415.34;624203;355653;129576.03;5362.8900000000003;619133;61;1;31;313;91;497;508;710;100;50;5;58;26;66;92;91;91;112;75;69;91;1028;35;43;52;22;16;11;179;1207
