;CODE DU CHEF-LIEU, VILLE;NOM VILLE;CODE DU LYCEE OU COLLEGE;DATE DE FONDATION;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;MODE ADMINISTRATION REGIE;MODE ADMINISTRATION PENSION;DATE RENOUVELLEMENT MOIS;DATE RENOUVELLEMENT ANNEE;PROPRIETE BATIMENT VILLE;PROPRIETE BATIMENT ETAT;ETAT BATIMENT BON;ETAT BATIMENT ASSEZ;ETAT BATIME MAUVAIS;PROPRIETE MOBILIER VILLE;PROPRIETE MOBILIER PRINCIPAL;ETAT MOBILIER BON;ETAT MOBILIER ASSEZ;ETAT MOBILIER MAUVAIS;ENSEIGNE CLASSIQUE TAUX;ENSEIGNE CLASSIQUE RETRIBUTION;ENSEIGNEMENT SPECIAL TAUX;ENSEIGNE SPECIAL RETRIBUTION;TAUX FRAIS ETUDES CLASSIQUES;TAUX FRAIS ETUDES SPECIALES;RECETTE SUBVENTION ETAT ENTRETIEN;RECETTE SUBVENTION ETAT ASSURANCE;RECETTE SUBVENTION COMMUNE;RECETTE SUBVENTION DEPARTEMENT;RECETTE PRODUIT PENSION;RECETTE PRODUIT ETUDES;RECETTE ABONNEMENTS;RECETTE TOTALE;DEPENSES PERSONNEL;DEPENSES NOURRITURE;DEPENSES FRAIS SERVICE;DEPENSES TOTAL;COLLEGE CHAIRE MATHEMATIQUES;COLLEGE CHAIRE REGULIERES;COLLEGE PLUSIEURS CHAIRES;COLLEGE LIMITE RHETORIQUE;COLLEGE LIMITE SECOND;COLLEGE LIMITE TROISIEME;COLLEGE DIVISION GRAMMAIRE;COLLEGE ENSEIGNEMENT 6;COLLEGE ENSEIGNEMEENT 5;COLLEGE ENSEIGNEMEENT 4;COLLEGE ENSEIGNEMEENT 3;COLLEGE ENSEIGNEMEENT 2;COLLEGE ENSEIGNEMEENT 1;COLLEGE ECOLE PRIMAIRE;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE BOURSE FONDATION;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES BOURSE NATIONALE;ELEVE EXTERNE BOURSE DEPARTEMENTALE;ELEVE EXTERNE BOURSE COMMUNALE;ELEVE EXTERNE BOURSE FONDATION;ELEVE EXTERNES LIBRE;ELEVE EXTERNE ETABLISSEMENT;ELEVE EXTERNES TOTAL;ELEVES TOTAL GENERAL;ELEVE CLASSE MATHEMATIQUES SUPERIEUR NOUVEAU;ELEVE CLASSE MATHEMATIQUES SUPERIEUR VETERAN;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 7;ELEVE CLASSIQUE TOTAL;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL TOTAL;REPARTITION ELEVE TOTAL;EN PREPA ECOLE NORMALE SCIENCE;EN PREPA ECOLE NORMALE LETTRE;EN PREPA ECOLE POLYTECHNIQUE;EN PREPA ECOLE SAINT-CYR;EN PREPA ECOLE NAVALE;EN PREPA ECOLE FORESTIERE;EN PREPA ECOLE CENTRALE;EN PREPA ECOLE NORMALE CLUNY;PROFESSEUR CLASSIQUE SCIENCE;PROFESSEUR CLASSIQUE PHILOSOPHIE;PROFESSEUR CLASSIQUE HISTOIRE;PROFESSEUR CLASSIQUE RHETORIQUE;PROFESSEUR CLASSIQUE GRAMMAIRE;PROFESSEUR CLASSIQUE ELEMENTAIRE;PROFESSEUR CLASSIQUE LANGUES;PROFESSEUR CLASSIQUE TOTAL;PROFESSEUR SPECIAL;PROFESSEUR CLASSE PRIMAIRE;PROFESSEUR TOTAL GENERAL;ELEVE CLASSIQUE MATHEMATIQUES;ELEVE CLASSIQUE PHILOSOPHIE;ELEVE CLASSIQUE RHETORIQUE;ELEVE CLASSIQUE GRAMMAIRE;ELEVE CLASSIQUE ELEMENTAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL;ELEVE CLASSE PRIMAIRE;ELEVE TOTAL GENERAL;NOMBRE PROFESSEURS;NOMBRE ELEVES;RAPPORT NOMBRE PROFFESSEURS ELEVES
11;3;DREUX;604;1872;7000;1500;5500;0;1;1;1881;1;0;1;0;0;1;0;1;0;0;500;125;500;75;25;25;11500;5188.8900000000003;15694.209999999999;NA;38305;11213.25;5035;86936;45485;24685;12540.35;82710;0;0;1;0;0;0;0;0;0;1;0;0;0;1;15;5;0;0;67;4;91;0;0;0;0;53;0;53;144;0;0;9;5;0;4;0;3;3;9;13;7;19;13;85;14;25;11;6;3;0;0;45;144;0;0;0;0;0;0;0;0;2;1;1;2;2;2;2;12;2;2;16;9;5;10;29;32;85;45;14;144;16;144;9
12;2;EPERNAY;607;1803;3020;1116;1904;0;1;1;1881;1;0;0;1;0;1;0;0;1;0;600;NA;600;NA;120;120;6150;5600;26415;NA;28800;15000;1000;82965;47200;30000;4000;81200;0;0;1;0;0;0;0;1;0;0;0;0;0;1;12;8;0;0;26;11;57;0;0;1;0;147;0;148;205;0;0;4;6;0;3;0;5;7;14;16;12;22;16;105;40;20;21;10;4;3;2;60;205;0;0;0;0;0;0;0;0;2;1;1;1;2;2;2;11;4;2;17;4;6;15;42;38;105;60;40;205;17;205;12
13;2;ETAMPES;611;1806;4885;2236;2649;0;1;1;1881;1;0;1;0;0;0;1;1;0;0;550;50;550;50;80;80;6100;5100;18500;NA;40000;6885;700;77285;29700;35000;3000;67700;0;0;1;0;0;0;0;0;1;0;0;0;0;1;9;1;0;0;72;10;92;0;0;0;0;47;0;47;139;0;0;17;3;0;5;0;4;9;12;11;12;15;6;94;5;8;11;12;6;3;0;40;139;0;0;0;0;0;0;0;0;3;1;1;2;1;1;2;11;0;1;12;17;3;18;35;21;94;40;5;139;12;139;12
14;2;FONTAINEBLEAU;620;1874;15000;1600;13400;0;1;9;1883;1;0;1;0;0;1;0;1;0;0;600;110;600;120;120;120;7750;5800;21710;NA;31800;11840;2650;81550;48350;19830;9000;77180;0;1;0;0;0;0;0;0;0;0;1;0;0;1;17;0;0;0;33;10;60;0;0;11;0;73;0;84;144;0;0;12;3;4;1;0;6;6;10;14;12;23;10;101;16;9;8;10;0;0;0;27;144;0;0;0;1;0;0;0;0;3;1;1;2;3;2;2;14;1;2;17;16;3;13;36;33;101;27;16;144;17;144;8
15;3;MEAUX;661;1812;11214.219999999999;2251.9899999999998;8962.2299999999996;1;0;3;1881;1;0;0;1;0;1;0;0;0;1;620;NA;620;NA;130;100;8600;4800;11484;NA;104544.05;10489.1;21547.869999999999;161465;72061.259999999995;55108.169999999998;33991.059999999998;161160;0;1;0;0;0;0;0;1;0;0;0;0;0;1;25;8;1;2;146;17;199;0;0;10;0;88;0;98;297;0;0;18;3;1;10;4;13;15;14;22;27;9;9;145;38;20;33;29;21;6;5;114;297;0;0;0;0;1;0;0;0;5;1;1;3;3;2;3;18;5;4;27;18;4;42;63;18;145;114;38;297;27;297;11
16;4;MELUN;663;1803;13000;3784;9216;1;0;NA;1881;1;0;1;0;0;1;0;1;0;0;700;NA;700;NA;80;80;8350;9800;14417;NA;126050;4920;29392;192929;91716;60343;40870;192929;0;1;0;0;0;0;0;1;0;0;0;0;0;1;28;19;4;0;135;19;205;0;0;14;0;50;0;64;269;0;0;21;7;0;9;0;9;10;12;12;20;19;12;131;16;30;51;24;10;3;4;122;269;0;0;0;0;0;0;0;0;6;1;1;3;3;2;3;19;4;1;24;21;7;28;44;31;131;122;16;269;24;269;11
17;2;MONTARGIS;670;1829;3036;836;2200;0;1;3;1881;1;0;0;1;0;1;0;0;1;0;480;NA;480;NA;100;NA;6300;5100;12800;NA;28290;3080;NA;55570;28900;21500;3900;54300;0;0;0;1;0;0;0;0;0;0;1;0;0;1;10;0;0;0;45;18;73;0;0;0;0;83;0;83;156;0;0;9;1;0;0;1;4;6;12;5;5;18;16;77;27;34;10;8;0;0;0;52;156;0;0;0;0;0;0;0;0;2;1;1;1;1;2;1;9;1;1;11;9;1;11;22;34;77;52;27;156;11;156;14
18;4;NOGENT-LE-ROTROU;679;1803;15000;3000;12000;0;1;2;1881;1;0;0;0;0;1;0;1;0;1;480;50;480;50;NA;NA;7100;6300;15000;NA;39630;3250;1500;72780;27100;36000;5300;68400;0;0;1;0;0;0;0;0;0;1;0;0;0;1;7;5;0;0;64;27;103;0;1;5;0;66;0;72;175;0;0;17;2;0;1;3;5;0;5;10;8;13;15;79;43;20;24;6;3;0;0;53;175;0;0;0;0;0;0;0;0;2;1;1;1;2;2;2;11;2;2;15;17;2;9;23;28;79;53;43;175;15;175;11
19;4;PONTOISE;692;1803;2744;560;2184;0;1;1;1881;1;0;0;0;1;1;0;0;0;1;500;100;500;100;40;40;3200;3750;9270;600;38400;5000;NA;60220;19800;33000;4000;56800;0;0;1;0;0;0;0;0;0;0;1;0;0;1;9;1;0;0;54;15;79;0;0;9;0;47;0;56;135;0;0;8;1;0;5;0;0;9;5;9;8;0;0;45;41;20;14;15;0;0;0;49;135;0;0;0;0;0;0;0;0;1;1;0;1;2;1;1;7;1;2;10;8;1;14;22;0;45;49;41;135;10;135;13
20;5;PROVINS;694;1804;12733;1460;11273;0;1;1;1881;1;0;1;0;0;1;0;1;0;0;575;75;575;75;120;120;3200;3100;16200;NA;28250;5000;NA;55750;21300;20500;8300;50100;0;0;1;0;0;0;0;0;0;1;0;0;0;1;10;0;1;0;35;5;51;0;0;9;0;49;0;58;109;0;0;19;2;0;5;0;1;1;4;4;6;6;7;55;15;0;25;11;3;0;0;39;109;0;0;0;0;0;0;0;0;2;0;0;1;2;1;1;7;1;1;9;19;2;7;14;13;55;39;15;109;9;109;12
