;ETABLISSEMENT;TYPE ETABLISSEMENT;CODE DU LYCEE OU COLLEGE;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;EXTERNAT BOURSIERE TOTAL;EXTERNAT NON-BOURSIERE TOTAL;INSTITUTIONS TOTAL;INTERNAT-MUNICIPAL BOURSIERES TOTAL;INTERNAT-MUNICIPAL NON-BOURSIERE TOTAL;INTERNAT-MUNICIPAL TOTAL;ENSEIGNEMENT SECONDAIRE TOTAL;ENSEIGNEMENT PRIMAIRE TOTAL;ELEVE TOTAL GENERAL;RECETTE SUBVENTION ETAT;RECETTES SUBVENTION COMMUNE;RECETTE TOTALE;DEPENSE PERSONNEL TRAITEMENT;DEPENSE PERSONNEL INDEMNITES;DEPENSES TOTAL;COMPARAISON EXCEDENT RECETTE;INTERNAT TARIF PENSIONNAIRE BOURSIERE;INTERNAT TOTAL RECETTE;INTERNAT TOTAL DEPENSE
29;HAVRE(LE)1;Lycée;56;3189.5;1204;1985.5;5;179;4;0;0;0;63;121;184;30000;1339.5;63513.410000000003;5600;1410;64523.75;NA;NA;-0.01;-0.01
30;ROUEN 1;Lycée;107;3000;1330;1670;15;161;34;0;0;0;95;81;176;33000;NA;55640.370000000003;7025;500;53724.089999999997;1916.28;NA;-0.01;-0.01
31;GUERET 1;Lycée;54;23500;2798;20702;0;75;0;21;26;47;66;9;75;7000;416.75;10330.5;1194.3499999999999;471;7636.3800000000001;2694.1199999999999;600;10522.75;9396
32;MOULINS 1;Lycée;79;1085.3099999999999;466.77999999999997;618.52999999999997;13;74;0;0;0;0;51;36;87;28000;NA;37493.089999999997;4586.6599999999999;1106.6600000000001;35242.110000000001;2250.98;NA;-0.01;-0.01
33;AMIENS 1;Lycée;18;2977;1213;1764;16;152;39;0;0;0;96;72;168;31000;NA;53048.830000000002;6900;400;49410.5;3638.3299999999999;NA;-0.01;-0.01
34;TOURNON 1;Lycée;119;15220;4274.2399999999998;10945.76;10;96;4;10;42;52;77;29;106;28000;1575;40616.290000000001;6025;2050;38750.779999999999;1865.51;600;38414.980000000003;38414.980000000003
35;LYON 1;Lycée;65;860;460;400;27;195;0;0;0;0;137;85;222;36500;NA;71444;9200;NA;69125.070000000007;2318.9299999999998;NA;-0.01;-0.01
36;ROANNE 1;Lycée;101;14375;1722;12653;9;85;0;13;22;35;67;27;94;31000;1800;42800.25;8866.6599999999999;533.33000000000004;39538.589999999997;3261.6599999999999;600;22194.759999999998;22194.759999999998
37;MONTPELLIER 1;Lycée;77;18020;4296.9700000000003;13723.030000000001;15;245;36;13;67;80;177;83;260;28320;NA;68037.410000000003;10200;800;76223.389999999999;NA;825;79027.25;78413.149999999994
38;NIORT 1;Lycée;90;1460;790;670;8;52;13;0;0;0;45;15;60;28000;NA;34306.160000000003;5000;1350;30767.16;3539;NA;-0.01;-0.01
39;TOURS 1;Lycée;121;1650;620;1030;6;65;24;0;0;0;59;12;71;5000;2150;10031.25;641.65999999999997;333.32999999999998;7805.8999999999996;2225.3499999999999;NA;-0.01;-0.01
40;NANTES 1;Lycée;83;2625;972;1653;22;167;9;0;0;0;96;93;189;27000;1500;51055.720000000001;6400;NA;49378.870000000003;1676.8499999999999;NA;-0.01;-0.01
41;MONTAUBAN1;Lycée;71;25100;9620;15480;19;148;0;37;42;79;111;56;167;33000;2387.1599999999999;51296.699999999997;5500;2400;48782.059999999998;2514.6399999999999;600;39175.160000000003;39175.160000000003
42;TOULOUSE 1;Lycée;116;8724.0799999999999;3182.5999999999999;5541.4799999999996;35;216;0;0;37;37;145;106;251;32000;1000;67842.130000000005;10000;500;67501.600000000006;340.52999999999997;650;28531.75;26055.419999999998
